"","Depth_m","Prof1_Temp_degC","Prof1_Sal_psu","Prof2_Temp_degC","Prof2_Sal_psu"
"220",219,14.788,35.928,14.661,35.911
"221",220,14.764,35.924,14.627,35.905
"222",221,14.737,35.919,14.61,35.902
"223",222,14.707,35.914,14.582,35.896
"224",223,14.648,35.906,14.538,35.89
"225",224,14.606,35.899,14.501,35.884
"226",225,14.576,35.894,14.48,35.88
"227",226,14.542,35.889,14.468,35.877
"228",227,14.504,35.883,14.447,35.874
"229",228,14.46,35.876,14.408,35.868
"230",229,14.386,35.865,14.343,35.859
"231",230,14.331,35.856,14.296,35.851
"232",231,14.289,35.849,14.252,35.845
"233",232,14.249,35.843,14.219,35.839
"234",233,14.191,35.834,14.195,35.834
"235",234,14.163,35.828,14.16,35.827
"236",235,14.138,35.824,14.116,35.821
"237",236,14.083,35.816,14.086,35.816
"238",237,14.039,35.81,14.069,35.812
"239",238,14.011,35.805,14.053,35.81
"240",239,13.989,35.801,14.034,35.807
"241",240,13.97,35.797,14.018,35.803
"242",241,13.945,35.793,14.007,35.801
"243",242,13.911,35.788,13.99,35.798
"244",243,13.877,35.783,13.953,35.793
"245",244,13.845,35.778,13.897,35.786
"246",245,13.819,35.772,13.806,35.775
"247",246,13.78,35.766,13.746,35.763
"248",247,13.743,35.761,13.721,35.758
"249",248,13.711,35.755,13.685,35.752
"250",249,13.671,35.749,13.642,35.746
"251",250,13.613,35.74,13.593,35.739
"252",251,13.58,35.734,13.571,35.734
"253",252,13.562,35.73,13.562,35.732
"254",253,13.543,35.727,13.548,35.729
"255",254,13.522,35.724,13.515,35.725
"256",255,13.496,35.72,13.492,35.721
"257",256,13.474,35.716,13.474,35.717
"258",257,13.454,35.713,13.451,35.714
"259",258,13.415,35.708,13.396,35.706
"260",259,13.366,35.701,13.342,35.697
"261",260,13.327,35.694,13.307,35.691
"262",261,13.288,35.688,13.276,35.686
"263",262,13.263,35.683,13.244,35.681
"264",263,13.234,35.678,13.205,35.676
"265",264,13.213,35.675,13.168,35.67
"266",265,13.193,35.671,13.138,35.664
"267",266,13.164,35.667,13.115,35.66
"268",267,13.132,35.661,13.094,35.657
"269",268,13.105,35.657,13.078,35.654
"270",269,13.081,35.653,13.065,35.651
"271",270,13.068,35.65,13.05,35.648
"272",271,13.05,35.647,13.011,35.643
"273",272,13.021,35.642,12.984,35.64
"274",273,12.993,35.637,12.967,35.637
"275",274,12.963,35.632,12.946,35.634
"276",275,12.914,35.625,12.932,35.631
"277",276,12.876,35.619,12.915,35.628
"278",277,12.858,35.616,12.889,35.624
"279",278,12.844,35.614,12.867,35.62
"280",279,12.823,35.61,12.851,35.617
"281",280,12.802,35.607,12.828,35.613
"282",281,12.774,35.602,12.799,35.608
"283",282,12.744,35.598,12.765,35.603
"284",283,12.711,35.593,12.733,35.599
"285",284,12.664,35.586,12.704,35.594
"286",285,12.624,35.579,12.675,35.589
"287",286,12.6,35.575,12.648,35.584
"288",287,12.586,35.572,12.596,35.577
"289",288,12.574,35.569,12.552,35.569
"290",289,12.557,35.567,12.521,35.564
"291",290,12.54,35.564,12.499,35.56
"292",291,12.514,35.561,12.465,35.556
"293",292,12.488,35.557,12.451,35.553
"294",293,12.475,35.555,12.435,35.551
"295",294,12.469,35.553,12.405,35.547
"296",295,12.464,35.551,12.37,35.541
"297",296,12.458,35.55,12.335,35.535
"298",297,12.448,35.549,12.299,35.53
"299",298,12.437,35.547,12.254,35.524
"300",299,12.422,35.544,12.196,35.516
"301",300,12.412,35.543,12.15,35.51
"302",301,12.399,35.541,12.122,35.505
"303",302,12.381,35.538,12.109,35.502
"304",303,12.361,35.536,12.097,35.499
"305",304,12.342,35.533,12.074,35.495
"306",305,12.317,35.529,12.034,35.49
"307",306,12.3,35.526,11.994,35.484
"308",307,12.286,35.524,11.968,35.48
"309",308,12.28,35.523,11.942,35.476
"310",309,12.279,35.522,11.925,35.472
"311",310,12.276,35.522,11.904,35.469
"312",311,12.262,35.52,11.888,35.466
"313",312,12.246,35.517,11.869,35.463
"314",313,12.216,35.513,11.842,35.459
"315",314,12.196,35.51,11.809,35.455
"316",315,12.18,35.508,11.787,35.451
"317",316,12.16,35.505,11.768,35.448
"318",317,12.139,35.502,11.755,35.446
"319",318,12.115,35.499,11.741,35.443
"320",319,12.107,35.497,11.721,35.44
"321",320,12.107,35.496,11.696,35.437
"322",321,12.107,35.495,11.664,35.433
"323",322,12.103,35.495,11.64,35.429
"324",323,12.1,35.494,11.616,35.426
"325",324,12.094,35.493,11.586,35.422
"326",325,12.078,35.491,11.559,35.418
"327",326,12.056,35.488,11.532,35.413
"328",327,12.037,35.485,11.491,35.407
"329",328,12.02,35.483,11.458,35.402
"330",329,12.001,35.48,11.431,35.397
"331",330,11.97,35.477,11.411,35.394
"332",331,11.935,35.472,11.395,35.391
"333",332,11.886,35.465,11.38,35.388
"334",333,11.86,35.461,11.357,35.385
"335",334,11.844,35.458,11.322,35.381
"336",335,11.829,35.455,11.286,35.376
"337",336,11.813,35.453,11.263,35.372
"338",337,11.783,35.449,11.248,35.37
"339",338,11.76,35.446,11.228,35.367
"340",339,11.75,35.444,11.208,35.364
"341",340,11.737,35.442,11.185,35.361
"342",341,11.708,35.438,11.167,35.358
"343",342,11.681,35.434,11.162,35.357
"344",343,11.652,35.43,11.161,35.356
"345",344,11.62,35.425,11.16,35.355
"346",345,11.592,35.421,11.155,35.354
"347",346,11.56,35.417,11.139,35.353
"348",347,11.54,35.414,11.107,35.348
"349",348,11.525,35.411,11.07,35.344
"350",349,11.513,35.409,11.038,35.34
"351",350,11.503,35.408,11.004,35.336
"352",351,11.493,35.406,10.978,35.332
"353",352,11.478,35.404,10.964,35.33
"354",353,11.461,35.401,10.957,35.328
"355",354,11.452,35.399,10.953,35.327
"356",355,11.448,35.398,10.94,35.325
"357",356,11.442,35.397,10.908,35.321
"358",357,11.434,35.396,10.885,35.318
"359",358,11.419,35.394,10.862,35.314
"360",359,11.4,35.391,10.843,35.311
"361",360,11.383,35.388,10.83,35.309
"362",361,11.365,35.386,10.818,35.307
"363",362,11.354,35.384,10.802,35.305
"364",363,11.339,35.382,10.789,35.303
"365",364,11.323,35.38,10.776,35.301
"366",365,11.305,35.377,10.759,35.299
"367",366,11.286,35.374,10.74,35.296
"368",367,11.273,35.372,10.72,35.293
"369",368,11.259,35.37,10.709,35.291
"370",369,11.239,35.368,10.701,35.29
"371",370,11.223,35.365,10.694,35.289
"372",371,11.213,35.363,10.689,35.288
"373",372,11.192,35.361,10.678,35.286
"374",373,11.167,35.358,10.654,35.283
"375",374,11.152,35.355,10.631,35.281
"376",375,11.141,35.353,10.626,35.279
"377",376,11.121,35.35,10.619,35.278
"378",377,11.089,35.346,10.602,35.277
"379",378,11.053,35.341,10.588,35.274
"380",379,11.018,35.337,10.585,35.273
"381",380,10.991,35.333,10.582,35.272
"382",381,10.979,35.331,10.572,35.271
"383",382,10.975,35.33,10.553,35.269
"384",383,10.97,35.329,10.529,35.267
"385",384,10.957,35.327,10.503,35.264
"386",385,10.946,35.325,10.479,35.261
"387",386,10.941,35.323,10.451,35.257
"388",387,10.939,35.323,10.434,35.255
"389",388,10.938,35.323,10.421,35.253
"390",389,10.934,35.322,10.402,35.25
"391",390,10.925,35.32,10.381,35.247
"392",391,10.908,35.318,10.359,35.244
"393",392,10.887,35.316,10.338,35.241
"394",393,10.872,35.314,10.314,35.238
"395",394,10.853,35.312,10.281,35.234
"396",395,10.844,35.31,10.248,35.231
"397",396,10.84,35.309,10.237,35.228
"398",397,10.829,35.307,10.231,35.227
"399",398,10.82,35.306,10.221,35.225
"400",399,10.809,35.305,10.207,35.223
"401",400,10.795,35.303,10.193,35.221
"402",401,10.785,35.301,10.177,35.219
"403",402,10.777,35.3,10.158,35.217
"404",403,10.771,35.298,10.139,35.215
"405",404,10.763,35.297,10.123,35.213
"406",405,10.739,35.295,10.1,35.21
"407",406,10.71,35.292,10.073,35.206
"408",407,10.698,35.289,10.052,35.203
"409",408,10.689,35.288,10.041,35.201
"410",409,10.672,35.286,10.038,35.2
"411",410,10.654,35.284,10.037,35.199
"412",411,10.629,35.281,10.033,35.199
"413",412,10.581,35.277,10.011,35.197
"414",413,10.518,35.27,9.9715,35.193
"415",414,10.492,35.265,9.9492,35.19
"416",415,10.478,35.263,9.9291,35.187
"417",416,10.461,35.26,9.8996,35.183
"418",417,10.454,35.259,9.8707,35.181
"419",418,10.452,35.257,9.8507,35.178
"420",419,10.451,35.257,9.8436,35.176
"421",420,10.448,35.256,9.8363,35.174
"422",421,10.445,35.256,9.8183,35.172
"423",422,10.442,35.255,9.7868,35.169
"424",423,10.44,35.255,9.7761,35.167
"425",424,10.437,35.254,9.7733,35.166
"426",425,10.431,35.253,9.7598,35.164
"427",426,10.419,35.252,9.7298,35.161
"428",427,10.407,35.25,9.7038,35.158
"429",428,10.403,35.249,9.691,35.156
"430",429,10.403,35.249,9.6781,35.155
"431",430,10.401,35.249,9.6511,35.152
"432",431,10.392,35.248,9.6193,35.148
"433",432,10.376,35.245,9.6024,35.146
"434",433,10.361,35.244,9.5945,35.144
"435",434,10.353,35.243,9.5853,35.142
"436",435,10.35,35.242,9.563,35.14
"437",436,10.35,35.241,9.5388,35.137
"438",437,10.351,35.241,9.5254,35.135
"439",438,10.35,35.241,9.5225,35.134
"440",439,10.346,35.24,9.5176,35.133
"441",440,10.347,35.24,9.5034,35.132
"442",441,10.348,35.24,9.4824,35.13
"443",442,10.345,35.24,9.4607,35.127
"444",443,10.335,35.239,9.453,35.126
"445",444,10.315,35.237,9.4481,35.125
"446",445,10.298,35.235,9.4363,35.123
"447",446,10.285,35.233,9.4278,35.122
"448",447,10.254,35.23,9.4219,35.121
"449",448,10.2,35.223,9.4092,35.119
"450",449,10.164,35.218,9.375,35.116
"451",450,10.149,35.216,9.349,35.112
"452",451,10.137,35.214,9.3299,35.11
"453",452,10.13,35.213,9.3138,35.108
"454",453,10.127,35.212,9.3014,35.107
"455",454,10.118,35.211,9.2895,35.105
"456",455,10.103,35.209,9.2735,35.103
"457",456,10.081,35.207,9.2583,35.101
"458",457,10.061,35.204,9.2456,35.099
"459",458,10.046,35.202,9.2309,35.098
"460",459,10.034,35.2,9.216,35.096
"461",460,10.023,35.198,9.1971,35.094
"462",461,10.017,35.197,9.1862,35.092
"463",462,10.012,35.196,9.1763,35.091
"464",463,10.01,35.196,9.1587,35.089
"465",464,10.008,35.195,9.1421,35.087
"466",465,9.996,35.194,9.1268,35.086
"467",466,9.9612,35.19,9.1091,35.083
"468",467,9.9479,35.187,9.0859,35.081
"469",468,9.9461,35.187,9.0704,35.079
"470",469,9.9451,35.187,9.0606,35.078
"471",470,9.9395,35.185,9.0535,35.077
"472",471,9.9293,35.184,9.0441,35.076
"473",472,9.9209,35.182,9.0321,35.074
"474",473,9.9177,35.182,9.0164,35.073
"475",474,9.9192,35.182,9.0103,35.072
"476",475,9.9182,35.182,9.0054,35.071
"477",476,9.9083,35.181,8.9984,35.07
"478",477,9.9024,35.18,8.9849,35.069
"479",478,9.8972,35.179,8.9694,35.068
"480",479,9.8848,35.177,8.9519,35.066
"481",480,9.8676,35.175,8.9328,35.064
"482",481,9.8587,35.174,8.9199,35.063
"483",482,9.8549,35.173,8.9112,35.061
"484",483,9.8503,35.171,8.9062,35.061
"485",484,9.845,35.17,8.8994,35.06
"486",485,9.839,35.168,8.8827,35.058
"487",486,9.8325,35.167,8.8623,35.056
"488",487,9.8257,35.165,8.8405,35.054
"489",488,9.8185,35.164,8.8308,35.053
"490",489,9.8112,35.163,8.824,35.052
"491",490,9.8036,35.161,8.8143,35.05
"492",491,9.7959,35.16,8.8051,35.049
"493",492,9.7881,35.158,8.7993,35.048
"494",493,9.7801,35.157,8.793,35.047
"495",494,9.7721,35.155,8.7889,35.047
"496",495,9.7639,35.154,8.7838,35.046
"497",496,9.7556,35.152,8.7721,35.045
"498",497,9.7473,35.151,8.7516,35.044
"499",498,9.7389,35.149,8.7229,35.041
"500",499,9.7305,35.148,8.6954,35.039
"501",500,9.7219,35.146,8.6821,35.037
"502",501,9.7134,35.145,8.6642,35.036
"503",502,9.7047,35.143,8.6461,35.034
"504",503,9.6961,35.141,8.6391,35.032
"505",504,9.6874,35.14,8.6337,35.031
"506",505,9.6786,35.138,8.6201,35.03
"507",506,9.6698,35.137,8.5972,35.029
"508",507,9.661,35.135,8.5773,35.027
"509",508,9.6521,35.134,8.5573,35.025
"510",509,9.6432,35.132,8.5397,35.023
"511",510,9.6343,35.131,8.5322,35.022
"512",511,9.6254,35.129,8.5301,35.021
"513",512,9.6164,35.127,8.5292,35.021
"514",513,9.6074,35.126,8.526,35.02
"515",514,9.5984,35.124,8.5154,35.02
"516",515,9.5894,35.123,8.5061,35.019
"517",516,9.5803,35.121,8.4967,35.018
"518",517,9.5712,35.119,8.4813,35.016
"519",518,9.5621,35.118,8.4685,35.015
"520",519,9.553,35.116,8.4557,35.014
"521",520,9.5439,35.115,8.4515,35.013
"522",521,9.5347,35.113,8.4499,35.013
"523",522,9.5255,35.111,8.4441,35.012
"524",523,9.5163,35.11,8.4337,35.012
"525",524,9.5071,35.108,8.4208,35.01
"526",525,9.4979,35.106,8.4073,35.009
"527",526,9.4887,35.105,8.3985,35.008
"528",527,9.4794,35.103,8.3949,35.007
"529",528,9.4701,35.102,8.3898,35.007
"530",529,9.4609,35.1,8.3818,35.006
"531",530,9.4516,35.098,8.3719,35.005
"532",531,9.4422,35.097,8.3614,35.004
"533",532,9.4329,35.095,8.3459,35.003
"534",533,9.4236,35.093,8.3268,35.001
"535",534,9.4142,35.092,8.3169,35
"536",535,9.4048,35.09,8.3042,34.999
"537",536,9.3954,35.088,8.2879,34.998
"538",537,9.386,35.087,8.275,34.997
"539",538,9.3766,35.085,8.2674,34.995
"540",539,9.3672,35.083,8.2565,34.994
"541",540,9.3577,35.082,8.2383,34.993
"542",541,9.3482,35.08,8.2122,34.992
"543",542,9.3388,35.078,8.1977,34.99
"544",543,9.3293,35.077,8.1871,34.989
"545",544,9.3197,35.075,8.1755,34.988
"546",545,9.3102,35.073,8.1574,34.987
"547",546,9.3006,35.072,8.1365,34.985
"548",547,9.291,35.07,8.1185,34.983
"549",548,9.2814,35.068,8.0992,34.982
"550",549,9.2718,35.067,8.0863,34.981
"551",550,9.2622,35.065,8.0785,34.98
"552",551,9.2525,35.063,8.0676,34.979
"553",552,9.2428,35.061,8.0559,34.978
"554",553,9.2331,35.06,8.0354,34.976
"555",554,9.2234,35.058,8.0179,34.975
"556",555,9.2137,35.056,8.0016,34.974
"557",556,9.2039,35.055,7.9908,34.972
"558",557,9.1941,35.053,7.9862,34.971
"559",558,9.1843,35.051,7.9808,34.971
